Research ID,Motion Sickness_1,Benchmark Memory
What is your research ID? (Ask one of the researchers if unsure),"Are you prone to motion sickness (e.g. from driving in a vehicle or wearing a virtual reality device)? If so, indicate the severity on the following scale:",What level did you reach in the benchmark memory test?
"{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID12_TEXT""}"
0,,7
1,5,7
3,3,12
2,,8
5,,7
4,2,14
6,,8
7,2,5
8,1,11
9,2,12
10,,7
11,3,9
13,2,7
12,2,7
15,1,9
14,2,6
17,2,11
16,3,6
18,3,4
20,,13
19,2,9
21,2,13
22,3,13
23,2,10
24,,9
25,2,8
26,,12
27,,8
28,3,12
29,1,8
30,,8
31,3,8
